keyword,priority,category,subcategory
rail,80,Transportation,Public Transport
railway,90,Transportation,Public Transport
gara,80,Transportation,Public Transport
station,90,Transportation,Public Transport
lyft,80,Transportation,Taxi
transfer,90,Transportation,Taxi
airport taxi,90,Transportation,Taxi
antifreeze,90,Transportation,Maintenance
coolant,90,Transportation,Maintenance
filtru,90,Transportation,Maintenance
filter,90,Transportation,Maintenance
battery,90,Transportation,Maintenance
baterie,90,Transportation,Maintenance
spark plug,90,Transportation,Maintenance
electric bill,90,Housing,Utilities
water bill,90,Housing,Utilities
gas bill,90,Housing,Utilities
fiber,80,Housing,Utilities
cablu,80,Housing,Utilities
cablu tv,90,Housing,Utilities
drill,80,Housing,Maintenance
bormasina,90,Housing,Maintenance
screw,80,Housing,Maintenance
surubelnita,90,Housing,Maintenance
nails,80,Housing,Maintenance
cuie,80,Housing,Maintenance
silicone,90,Housing,Maintenance
silicon,90,Housing,Maintenance
plaster,90,Housing,Maintenance
glet,80,Housing,Maintenance
popcorn,90,Entertainment,Movies
cinemacity,90,Entertainment,Movies
movie ticket,90,Entertainment,Movies
live nation,90,Entertainment,Concerts
arena,80,Entertainment,Concerts
gig,80,Entertainment,Concerts
puzzle,90,Entertainment,Hobbies
drone,80,Entertainment,Hobbies
canvas,90,Entertainment,Hobbies
pensule,90,Entertainment,Hobbies
brush,80,Entertainment,Hobbies
prime video,90,Entertainment,Subscriptions
amazon music,90,Entertainment,Subscriptions
tidal,80,Entertainment,Subscriptions
deezer,90,Entertainment,Subscriptions
chatgpt plus,90,Entertainment,Subscriptions
nurofen,90,Healthcare,Medicines
aspirin,90,Healthcare,Medicines
vitamina c,90,Healthcare,Medicines
bandage,90,Healthcare,Medicines
bandaj,90,Healthcare,Medicines
mask,80,Healthcare,Medicines
masca,80,Healthcare,Medicines
ecografie,90,Healthcare,Doctor
xray,80,Healthcare,Doctor
radiology,90,Healthcare,Doctor
analize,90,Healthcare,Doctor
laborator,90,Healthcare,Doctor
medical insurance,90,Healthcare,Insurance
health plan,90,Healthcare,Insurance
orthodontist,90,Healthcare,Dental
braces,90,Healthcare,Dental
periaj,90,Healthcare,Dental
dictionary,90,Education,Books
atlas,80,Education,Books
novel,80,Education,Books
roman,80,Education,Books
skillshare,90,Education,Courses
pluralsight,90,Education,Courses
codecademy,90,Education,Courses
stapler,90,Education,Supplies
agrafe,90,Education,Supplies
eraser,90,Education,Supplies
radiera,90,Education,Supplies
ruler,80,Education,Supplies
rigla,80,Education,Supplies
pijama,90,Shopping,Clothing
pyjamas,90,Shopping,Clothing
swimsuit,90,Shopping,Clothing
costum baie,90,Shopping,Clothing
wallet,90,Shopping,Clothing
portofel,90,Shopping,Clothing
umbrella,90,Shopping,Clothing
umbrela,90,Shopping,Clothing
watch,80,Shopping,Clothing
ceas,80,Shopping,Clothing
ssd,80,Shopping,Electronics
hard drive,90,Shopping,Electronics
usb,80,Shopping,Electronics
flash drive,90,Shopping,Electronics
router,90,Shopping,Electronics
printer,90,Shopping,Electronics
ink,80,Shopping,Electronics
toner,80,Shopping,Electronics
webcam,90,Shopping,Electronics
microphone,90,Shopping,Electronics
curtain,90,Shopping,Home
perdea,90,Shopping,Home
towel,80,Shopping,Home
prosop,90,Shopping,Home
plate,80,Shopping,Home
farfurie,90,Shopping,Home
glass,80,Shopping,Home
pahar,80,Shopping,Home
fork,80,Shopping,Home
furculita,90,Shopping,Home
souvenir,90,Shopping,Gifts
gift box,90,Shopping,Gifts
gift wrap,90,Shopping,Gifts
greeting card,90,Shopping,Gifts
felicitare,90,Shopping,Gifts
fee,80,Other,Other
processing,90,Other,Other
adjustment,90,Other,Other
unknown item,90,Other,Other
lentils,90,Food,Groceries
linte,90,Food,Groceries
beans,90,Food,Groceries
fasole,90,Food,Groceries
peas,90,Food,Groceries
mazare,90,Food,Groceries
spinach,90,Food,Groceries
spanac,90,Food,Groceries
broccoli,90,Food,Groceries
cauliflower,90,Food,Groceries
conopida,90,Food,Groceries
zucchini,90,Food,Groceries
dovlecel,90,Food,Groceries
eggplant,90,Food,Groceries
vanata,90,Food,Groceries
mushroom,90,Food,Groceries
ciuperci,90,Food,Groceries
kiwi,90,Food,Groceries
pineapple,90,Food,Groceries
ananas,90,Food,Groceries
lemon,90,Food,Groceries
lamaie,90,Food,Groceries
lime,90,Food,Groceries
coconut,90,Food,Groceries
nuca cocos,90,Food,Groceries
walnuts,90,Food,Groceries
nuci,90,Food,Groceries
almonds,90,Food,Groceries
migdale,90,Food,Groceries
hazelnuts,90,Food,Groceries
alune,90,Food,Groceries
cashews,90,Food,Groceries
fistic,90,Food,Groceries
pistachio,90,Food,Groceries
raisins,90,Food,Groceries
stafide,90,Food,Groceries
olive oil,90,Food,Groceries
ulei masline,90,Food,Groceries
vinegar,90,Food,Groceries
otet,90,Food,Groceries
soy sauce,90,Food,Groceries
sos soia,90,Food,Groceries
flour tortillas,90,Food,Groceries
tortilla,90,Food,Groceries
frozen pizza,90,Food,Groceries
ice cream,90,Food,Groceries
inghetata,90,Food,Groceries
chocolate,90,Food,Groceries
ciocolata,90,Food,Groceries
candy,90,Food,Groceries
bomboane,90,Food,Groceries
chips,90,Food,Groceries
snacks,90,Food,Groceries
brasserie,90,Food,Restaurants
cantina,90,Food,Restaurants
food court,90,Food,Restaurants
buffet,90,Food,Restaurants
rotisserie,90,Food,Restaurants
shaorma,90,Food,Restaurants
shawarma,90,Food,Restaurants
kebab,90,Food,Restaurants
doner,90,Food,Restaurants
cantină,90,Food,Restaurants
drive thru,90,Food,Takeaway
ready to eat,90,Food,Takeaway
meal deal,90,Food,Takeaway
quick meal,90,Food,Takeaway
octane95,90,Transportation,Fuel
octane98,90,Transportation,Fuel
octane100,90,Transportation,Fuel
diesel premium,90,Transportation,Fuel
fuel card,90,Transportation,Fuel
trolleybus,90,Transportation,Public Transport
troleibuz,90,Transportation,Public Transport
ferry,90,Transportation,Public Transport
feribot,90,Transportation,Public Transport
platforma,90,Transportation,Public Transport
cabify,90,Transportation,Taxi
black cab,90,Transportation,Taxi
rideshare,90,Transportation,Taxi
windshield,90,Transportation,Maintenance
parbriz,90,Transportation,Maintenance
wiper,90,Transportation,Maintenance
stergatoare,90,Transportation,Maintenance
alignment,90,Transportation,Maintenance
geometrie,90,Transportation,Maintenance
clutch,90,Transportation,Maintenance
ambreiaj,90,Transportation,Maintenance
gearbox,90,Transportation,Maintenance
cutie viteze,90,Transportation,Maintenance
radiator,90,Transportation,Maintenance
monthly rent,90,Housing,Rent
rental payment,90,Housing,Rent
electric meter,90,Housing,Utilities
gas meter,90,Housing,Utilities
water meter,90,Housing,Utilities
sewer,90,Housing,Utilities
canalizare,90,Housing,Utilities
heating,90,Housing,Utilities
incalzire,90,Housing,Utilities
district heating,90,Housing,Utilities
loan installment,90,Housing,Mortgage
home loan,90,Housing,Mortgage
bank mortgage,90,Housing,Mortgage
tile,90,Housing,Maintenance
gresie,90,Housing,Maintenance
faience,90,Housing,Maintenance
faianta,90,Housing,Maintenance
grout,90,Housing,Maintenance
chit,90,Housing,Maintenance
ladder,90,Housing,Maintenance
scara,90,Housing,Maintenance
roller,90,Housing,Maintenance
trafalet,90,Housing,Maintenance
paintbrush,90,Housing,Maintenance
pensula,90,Housing,Maintenance
sealant,90,Housing,Maintenance
adeziv,90,Housing,Maintenance
glue,90,Housing,Maintenance
lipici,90,Housing,Maintenance
3d movie,90,Entertainment,Movies
vip cinema,90,Entertainment,Movies
cinematograf,90,Entertainment,Movies
opera,90,Entertainment,Concerts
theatre,90,Entertainment,Concerts
teatru,90,Entertainment,Concerts
musical,90,Entertainment,Concerts
philharmonic,90,Entertainment,Concerts
guitar,90,Entertainment,Hobbies
chitara,90,Entertainment,Hobbies
piano,90,Entertainment,Hobbies
keyboard instrument,90,Entertainment,Hobbies
ukulele,90,Entertainment,Hobbies
fishing,90,Entertainment,Hobbies
pescuit,90,Entertainment,Hobbies
cycling,90,Entertainment,Hobbies
bicicleta,90,Entertainment,Hobbies
knitting,90,Entertainment,Hobbies
crosetat,90,Entertainment,Hobbies
photography,90,Entertainment,Hobbies
icloud,90,Entertainment,Subscriptions
google one,90,Entertainment,Subscriptions
office365,90,Entertainment,Subscriptions
microsoft 365,90,Entertainment,Subscriptions
dropbox,90,Entertainment,Subscriptions
canva pro,90,Entertainment,Subscriptions
antibiotic,90,Healthcare,Medicines
antibiotice,90,Healthcare,Medicines
syrup,90,Healthcare,Medicines
sirop,90,Healthcare,Medicines
thermometer,90,Healthcare,Medicines
termometru,90,Healthcare,Medicines
disinfectant,90,Healthcare,Medicines
dezinfectant,90,Healthcare,Medicines
plaster bandage,90,Healthcare,Medicines
cardiology,90,Healthcare,Doctor
cardiologie,90,Healthcare,Doctor
dermatology,90,Healthcare,Doctor
dermatologie,90,Healthcare,Doctor
neurology,90,Healthcare,Doctor
neurologie,90,Healthcare,Doctor
pediatrics,90,Healthcare,Doctor
pediatrie,90,Healthcare,Doctor
policy health,90,Healthcare,Insurance
medical policy,90,Healthcare,Insurance
toothpaste prescribed,90,Healthcare,Dental
dental cleaning,90,Healthcare,Dental
detartraj,90,Healthcare,Dental
crown,90,Healthcare,Dental
coroana,90,Healthcare,Dental
semester fee,90,Education,Tuition
school tax,90,Education,Tuition
encyclopedia,90,Education,Books
encyclopedie,90,Education,Books
textbook,90,Education,Books
workbook,90,Education,Books
workbook english,90,Education,Books
bootcamp,90,Education,Courses
training,90,Education,Courses
certification,90,Education,Courses
certificat curs,90,Education,Courses
highlighter,90,Education,Supplies
evidentiator,90,Education,Supplies
binder,90,Education,Supplies
dosar,90,Education,Supplies
folder,90,Education,Supplies
compass,90,Education,Supplies
compas,90,Education,Supplies
calculator school,90,Education,Supplies
beanie,90,Shopping,Clothing
caciula,90,Shopping,Clothing
earmuffs,90,Shopping,Clothing
colanti,90,Shopping,Clothing
leggings,90,Shopping,Clothing
shorts,90,Shopping,Clothing
sort,90,Shopping,Clothing
tie,90,Shopping,Clothing
cravata,90,Shopping,Clothing
bowtie,90,Shopping,Clothing
papion,90,Shopping,Clothing
blazer,90,Shopping,Clothing
cardigan,90,Shopping,Clothing
vest,90,Shopping,Clothing
vesta,90,Shopping,Clothing
flip flops,90,Shopping,Clothing
slippers,90,Shopping,Clothing
papuci,90,Shopping,Clothing
boots,90,Shopping,Clothing
cizme,90,Shopping,Clothing
raincoat,90,Shopping,Clothing
impermeabil,90,Shopping,Clothing
powerbank,90,Shopping,Electronics
smartwatch,90,Shopping,Electronics
tablet,90,Shopping,Electronics
e-reader,90,Shopping,Electronics
kindle,90,Shopping,Electronics
graphics card,90,Shopping,Electronics
gpu,90,Shopping,Electronics
cpu,90,Shopping,Electronics
processor,90,Shopping,Electronics
ram memory,90,Shopping,Electronics
motherboard,90,Shopping,Electronics
ssd nvme,90,Shopping,Electronics
hdmi cable,90,Shopping,Electronics
ethernet cable,90,Shopping,Electronics
mug,90,Shopping,Home
cana,90,Shopping,Home
bowl,90,Shopping,Home
bol,90,Shopping,Home
knife,90,Shopping,Home
cutit,90,Shopping,Home
spoon,90,Shopping,Home
lingura,90,Shopping,Home
pan,90,Shopping,Home
tigaie,90,Shopping,Home
pot,90,Shopping,Home
oala,90,Shopping,Home
vacuum,90,Shopping,Home
aspirator,90,Shopping,Home
detergent holder,90,Shopping,Home
soap dispenser,90,Shopping,Home
doormat,90,Shopping,Home
pres,90,Shopping,Home
birthday gift,90,Shopping,Gifts
anniversary gift,90,Shopping,Gifts
christmas gift,90,Shopping,Gifts
gift voucher,90,Shopping,Gifts
plush toy,90,Shopping,Gifts
service fee,90,Other,Other
bank fee,90,Other,Other
commission,90,Other,Other
miscellaneous,90,Other,Other
rounding,90,Other,Other
manual adjustment,90,Other,Other
balance correction,90,Other,Other
crispy,85,Food,Restaurants
lipie,85,Food,Restaurants
